source_kind,type,name,region,province,municipality,code,status,url,last_updated,enac_office,dossier,latitude,longitude,coordinates_text,public_detail_available,notes
eli,helipad,CASCINA ANGELI CUSTODI,Piemonte,AL,Tortona,EB93,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/piemonte/cascina-angeli-custodi_EB93,14/11/2025,Nord-Ovest,5.1.8.2_2025_659,44.88514167,8.892775,"44°53'6,51""N - 8°53'33,99""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,ELI VAL MAIRA,PIEMONTE,CUNEO,VILLAR SAN COSTANZO,EA80,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/piemonte/eli-val-maira_EA80,07/10/2025,Nord-Ovest,5.1.8.2_2024_510,44.4723,7.39464444,"44°28'20,28""N - 7°23'40,72""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,ELIOSSOLA,Piemonte,Torino,Domodossola,EB91,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/piemonte/eliossola_EB91,16/01/2026,Nord-Ovest,5.1.8.2_2025_669,46.12277778,8.29861111,"46°7'22""N - 8°17'55""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,AIRSTAR COSSATO,PIEMONTE,BI,COSSATO,EC03,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/piemonte/airstar-cossato_EC03,11/10/2024,Nord-Ovest,5.1.8.2_2024_539,45.55320278,8.20418056,"45°33'11,53""N - 8°12'15,05""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,FERRERO,Piemonte,Cuneo,Alba,EA95,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/piemonte/ferrero_EA95,10/05/2024,Nord-Ovest,5.1.8.2_2024_515,44.70198333,8.02027778,"44°42'07,14""N - 8°1'13,00""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,Balocco,Piemonte,Vercelli,Balocco,EB48,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/piemonte/balocco_EB48,16/02/2026,Nord-Ovest,5.1.8.2_2024_421,45.48709167,8.30608056,"45°29'13,53""N - 8°18'21,89""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,BARAGGIOLO,Piemonte,VERCELLI,VARALLO,EA18,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/piemonte/baraggiolo_EA18,08/03/2024,Nord-Ovest,5.1.8.2_2024_342,45.78786944,8.26977222,"45°47'16,33""N - 8°16'11,18""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,CAFASSE,PIEMONTE,TORINO,CAFASSE,EA22,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/piemonte/cafasse_EA22,25/10/2024,Nord-Ovest,5.1.8.2_2024_360,45.23855556,7.53321111,"45°14'18,80""N - 7°31'59,56""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,COSTIGLIOLE,Piemonte,Asti,COSTIGLIOLE D'ASTI,EB12,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/piemonte/costigliole_EB12,22/05/2024,Nord-Ovest,5.1.8.2_2024_502,44.78741111,8.19524444,"44°47'14,68""N - 08°11'42,88""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,Elicuneo,Piemonte,Asti,Costigliole D'Asti,EB11,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/piemonte/elicuneo_EB11,30/05/2024,Nord-Ovest,5.1.8.2_2024_519,44.75951889,8.18855389,"44°45'34,268""N - 8°11'18,794""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
